lake,y_true,pred,std,lo,hi
Cranberry Lake,9.133333333333333,9.712150651827022,3.3632140351984723,3.1202511428380166,16.304050160816026
Cranberry Lake,17.1,12.72326763936777,4.354614672720405,4.1882228808357755,21.258312397899765
Cranberry Lake,9.4,10.828701818174508,3.6709434859488996,3.633652585714665,18.023751050634353
Cranberry Lake,6.925,9.584189008313215,5.874852301208821,0.0,21.098899518682504
Cranberry Lake,4.915,9.612415894003863,6.158893321467956,0.0,21.683846804081057
Cranberry Lake,6.666666666666667,9.168775864758281,6.421682471010493,0.0,21.755273507938846
Cranberry Lake,4.225,8.448935383989289,11.0382130332956,0.0,30.083832929248665
Cranberry Lake,2.05,5.464717493308154,5.980806525875943,0.0,17.187098284025
Deal Lake,42.5,35.78157980459353,12.127939685747853,12.010818020527736,59.55234158865932
Deal Lake,24.35,38.02289660199893,27.106955751555567,0.0,91.15252987504783
Echo Lake,3.85,12.847172845272016,8.916017872552796,0.0,30.322567875475496
Echo Lake,24.06,17.19709231262122,8.66608076147924,0.2115740201219083,34.18261060512053
Echo Lake,4.76,8.58327031504365,5.818702830378119,0.0,19.987927862584762
Echo Lake,7.81,12.027792524967037,10.911852495498353,0.0,33.41502341614381
Echo Lake,24.15,24.513369608771917,11.061085785610931,2.8336414689744913,46.19309774856934
Echo Lake,23.8,26.5399451322865,12.417554185206985,2.2015389292808116,50.878351335292194
Farrington Lake,2.5533333333333332,10.502631559327982,12.819474756924711,0.0,35.628802082900414
Furnace Lake,15.475,17.3554119234383,9.087437503542617,0.0,35.166789430381826
Greenwood Lake,24.56,19.552397201869997,8.490999000862352,2.9100391601797853,36.19475524356021
Greenwood Lake,3.1900000000000004,6.329590383954506,4.228273967952766,0.0,14.617007361141926
Greenwood Lake,4.025,8.721597578307343,8.645783574264849,0.0,25.667333383866445
Greenwood Lake,3.3,6.910746939210459,9.57467781400994,0.0,25.67711545466994
Greenwood Lake,8.5,14.469720814544631,11.630106595338384,0.0,37.26472974140786
Greenwood Lake,5.465,6.732233097720161,6.275774039722364,0.0,19.032750215575994
Greenwood Lake,7.125,10.188935215195755,7.030207334592753,0.0,23.968141590997554
Greenwood Lake,6.220000000000001,9.713069410588904,5.89332088076778,0.0,21.26397833689375
