lake,date,air_temp_c,specific_humidity,surface_pressure_pa,wind_speed_ms,shortwave_wm2,longwave_wm2,cape_jkg,precip_kg_m2,hours
Greenwood Lake,2018-10-18,4.25250651041669,0.0033995958704811833,99127.34635416667,7.2797503127737455,138.73496516545615,285.71291097005206,10.690667152404785,0.0,24
Greenwood Lake,2019-09-11,22.080836232503277,0.014090120986414453,99124.7607421875,4.752949919646874,237.84939050674438,378.1854070027669,775.9013846119245,0.0,24
Greenwood Lake,2019-09-12,22.840833282470726,0.014728941838257015,98822.01725260417,3.1786808889804234,118.57583928108215,390.1720720926921,720.1227064927419,0.0,24
Greenwood Lake,2019-09-13,15.745417531331404,0.00918105011805892,99817.86393229167,5.122838504780037,239.90413610140482,333.0041567484538,1.2853333720316489,0.0,24
Greenwood Lake,2019-09-14,14.821251169840517,0.009776675103542706,99570.16471354167,4.034365150875092,83.32067106167476,357.91040802001953,0.0,0.02219999930821359,24
Greenwood Lake,2019-09-15,20.13458404541018,0.011575187595250705,99040.91178385417,3.51908752829827,236.97380256652832,353.4170735677083,43.90933514634768,0.040399998892098665,24
Greenwood Lake,2019-09-16,18.48166681925458,0.010309300113779804,98732.95345052083,2.165907935747747,122.75442183017731,365.40415954589844,26.586667617162068,0.0,24
Greenwood Lake,2019-09-17,16.61332982381187,0.008167137605293343,98888.90950520833,3.3647011745032835,239.44184547662735,307.5358250935872,0.8586667279402415,0.0,24
Greenwood Lake,2019-09-20,14.655000305175804,0.006735071016009897,99339.7412109375,3.6687766785115024,231.42126337687174,285.51916122436523,0.0,0.0,24
Greenwood Lake,2019-09-21,17.769167836507183,0.008581312586708615,99227.73697916667,3.1852459757717746,229.78884625434875,309.5033302307129,0.0,0.0,24
Greenwood Lake,2019-09-22,20.15833943684898,0.010683066754912337,99034.38216145833,3.454313637985173,220.92776036262512,336.76832580566406,43.00800244013468,0.0,24
Greenwood Lake,2019-09-23,22.73791656494143,0.012953454279340804,98235.98958333333,5.2411394397203175,214.94501010576883,367.7820790608724,37.2186678647995,0.0,24
Greenwood Lake,2019-09-24,19.722919718424503,0.01028957508970052,97841.8232421875,4.9902492896106265,217.01768000920615,341.6758295694987,91.35733767350514,0.0,24
Greenwood Lake,2019-09-25,16.550005849202496,0.008413183502852917,98142.38802083333,3.4519018864073523,220.25180069605508,321.2474937438965,1.5733334223429363,0.0,24
Greenwood Lake,2019-09-26,18.880835469563824,0.009524195978883654,97930.81477864583,4.394953940484601,160.57979996999106,335.4541600545247,19.42933456103007,0.015999999945051968,24
Greenwood Lake,2019-09-27,15.851246134440126,0.007423904297562937,98711.48177083333,3.3970531240747284,216.58755310376486,295.5479100545247,0.029333335037032764,0.004799999689566903,24
Greenwood Lake,2019-09-28,17.95624694824221,0.010160512659543505,98872.80045572917,4.502028721250299,204.17988526821136,337.0704065958659,325.253346602122,0.0,24
Greenwood Lake,2019-09-29,20.362499491373722,0.011183395865373313,99188.0263671875,3.8349605876643627,210.03172028064728,345.1937421162923,288.35734534387785,0.0,24
Greenwood Lake,2019-09-30,14.231249745686872,0.007452250089651595,99523.05859375,3.432842631205501,106.07529688874881,340.5216585795085,0.0,0.0,24
Greenwood Lake,2019-10-01,18.23792419433596,0.010996366812226674,98853.56477864583,4.857738651600628,189.90654951334,379.1333287556966,108.47733994325002,0.0,24
Greenwood Lake,2019-10-04,13.805828348795595,0.008015508414246142,98682.13509114583,4.842140972139496,188.9796369606629,327.63332748413086,2.594666746755441,0.020999998989282176,24
Greenwood Lake,2019-10-05,7.329581197102887,0.004297504240336518,99758.8525390625,3.127025982414684,211.89930152893066,246.06416257222494,0.0,0.0,24
Greenwood Lake,2019-10-06,10.475417073567732,0.007144658418837935,99548.80403645833,4.700017272145259,66.62404457728069,324.6812432607015,0.12533333959678808,0.0,24
