OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-154-2,Paulina Lake - 2,Lake,,02040105,,,,,40.9773830000,-74.9413700000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,041,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-155-1,Lebanon Lake -1,Lake,,02040202,,,,,39.9043330000,-74.5640700000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,005,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-156-1,Hudson Lake -1,Lake,,02040206,,,,,39.6778360000,-75.4479230000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,033,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-158-1,Koehler Pond -1,Lake,,02030105,,,,,40.8101670000,-74.7959400000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,027,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-159-1,Crystal Lake - 1,Lake,,02030103,,,,,41.0332870000,-74.2416840000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,003,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-160-1,East Lake - 1,Lake,,02030103,,,,,40.9758500000,-74.3556930000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,027,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-160-2,East Lake - 2,Lake,,02030103,,,,,40.9734870000,-74.3567130000,,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,027,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-161-1,Laurel Lake - 1,Lake,,02040202,,,,,39.8166850000,-75.0100670000,2400,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,007,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-161-2,Laurel Lake - 2,Lake,,02040202,,,,,39.8182050000,-75.0136970000,2400,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,007,,,,,,,,,,STORET
NJDEP_BFBM,NJDEP Bureau of Freshwater and Biological Monitoring,NJDEP_BFBM-NJW04459-162-1,Albert Lake - 1,Lake,,02040302,,,,,39.5907790000,-74.8641310000,2400,,,GPS Code (Pseudo Range) Differential,NAD83,,,,,,,US,34,001,,,,,,,,,,STORET
